address,addressar,areaar,areaen,bgcolorcode,curriculumar,curriculumen,educationcenterid,educationcenter_typeid,email,establishedon,fax,hepqualityassurancear,hepqualityassuranceen,imagelargeurl,imagemedsmallurl,imagesmallurl,imagethumburl,inspectionreportpdflinken,inspectionyear,lat,long,mobile,name_ar,name_eng,overallperformancear,overallperformanceen,pobox,studentcount,telephone,web_address,load_timestamp
232-267,232-267 ,القصيص الأولى,AL QUSAIS FIRST,#24a5e5,بريطاني,UK,67,1,Gre_tws@gemsedu.com,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/67L.jpg,https://www.khda.gov.ae/SchoolImage/67MS.jpg,https://www.khda.gov.ae/SchoolImage/67S.jpg,https://www.khda.gov.ae/SchoolImage/67T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=111783,2023-2024,25.28,55.37,,مدرسة وستمينستر - فرع دبي,The Westminster School - DUBAI BRANCH,جيد,Good,27016,,97142988333,www.gemsws-ghusais.com,01:09.0
B 708,B 708,الطوار الأولى,AL TWAR FIRST,#24a5e5,أمريكي,American,27,1,malek.daradkeh@dns.sch.ae,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/27L.jpg,https://www.khda.gov.ae/SchoolImage/27MS.jpg,https://www.khda.gov.ae/SchoolImage/27S.jpg,https://www.khda.gov.ae/SchoolImage/27T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=111531,2023-2024,25.28,55.37,,مدرسة دبي الوطنية الطوار ش.ذ.م.م,Dubai National School  AlTwar L.L.C,جيد,Good,14060,,97142988555,www.dns.sch.ae,01:09.0
,,البرشاء الثانية,AL BARSHA SECOND,#f9db01,بريطاني,UK,152035,1,headmaster@brightoncollegeduba,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/152035L.jpg,https://www.khda.gov.ae/SchoolImage/152035MS.jpg,https://www.khda.gov.ae/SchoolImage/152035S.jpg,https://www.khda.gov.ae/SchoolImage/152035T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=114027,2023-2024,25.08,55.23,,برايتون كوليدج دبي ش.ذ.م.م,Brighton College Dubai L.L.C,جيد جدا,Very good,,,97143871111,www.brightoncollegedubai.ae,01:09.0
315-131,315-131,أم هرير الأولى,UMM HURAIR FIRST,#24a5e5,بريطاني,UK,47,1,maryscol@emirates.net.ae,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/47L.jpg,https://www.khda.gov.ae/SchoolImage/47MS.jpg,https://www.khda.gov.ae/SchoolImage/47S.jpg,https://www.khda.gov.ae/SchoolImage/47T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=111341,2023-2024,25.24,55.32,,مدرسة القديسة مريم الكاثوليكية الثانوية - دبي,ST. Mary Catholic High School - Dubai,جيد,Good,52232,,43370252,www.stmarysdubai.com,01:09.0
528-372,528-372,الصفوح الأولى,AL SAFOUH FIRST,#10b078,بريطاني - بريطاني/بكالوريا دولية - بكالوريا دولية (13 سنة),UK - UK/IB - International Baccalaureate (1,122,1,principal_wis@gemsedu.com,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/122L.jpg,https://www.khda.gov.ae/SchoolImage/122MS.jpg,https://www.khda.gov.ae/SchoolImage/122S.jpg,https://www.khda.gov.ae/SchoolImage/122T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=110322,2023-2024,25.11,55.18,,مدرسة جيمس ويلينجتون انترناشيونال الخاصة - فرع دبي,GEMS Wellington International School - Dubai Branch,متميز,Outstanding,37486,,43073000,www.wellingtoninternationalschool.com,01:09.0
616-4745,616-4745,ند الشبا الأولى,NADD AL SHIBA FIRST,#10b078,هندي - هندي/بكالوريا دولية,Indian - Indian/IB,78,1,principal_mhs@gemsedu.com,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/78L.jpg,https://www.khda.gov.ae/SchoolImage/78MS.jpg,https://www.khda.gov.ae/SchoolImage/78S.jpg,https://www.khda.gov.ae/SchoolImage/78T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=109350,2023-2024,25.15,55.38,,جيمس مودرن اكاديمي,GEMS Modern Academy,متميز,Outstanding,53663,,97143263339,www.gemsmodernacademy-dubai.com,01:09.0
1334,,الخيل,Al Khail,#f9db01,بريطاني - بكالوريا دولية (13 سنة),UK - International Baccalaureate (1,152056,1,govtaffairs.sms@forteseducatio,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/152056L.jpg,https://www.khda.gov.ae/SchoolImage/152056MS.jpg,https://www.khda.gov.ae/SchoolImage/152056S.jpg,https://www.khda.gov.ae/SchoolImage/152056T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=111146,2023-2024,25.05,55.19,,مدرسة سنمارك - م م ح,Sunmarke School FZE,جيد جدا,Very good,,,,www.sunmarkedubai.com,01:09.0
DFC.P.003,DFC.P.003,دبي فستيفال سيتي,Dubai Festival City,#10b078,بريطاني - بريطاني/بكالوريا دولية - بكالوريا دولية (13 سنة),UK - UK/IB - International Baccalaureate (1,124,1,director@disdubai.ae,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/124L.jpg,https://www.khda.gov.ae/SchoolImage/124MS.jpg,https://www.khda.gov.ae/SchoolImage/124S.jpg,https://www.khda.gov.ae/SchoolImage/124T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=111535,2023-2024,25.21,55.37,,مدرسة ديره الدوليه,Deira International School,متميز,Outstanding,79043,,97142325552,www.disdubai.ae,01:09.0
4786,4786,الصفا الأولى,AL SAFA FIRST,#24a5e5,أمريكي,American,22,1,principal@ipsjumeira.com,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/22L.jpg,https://www.khda.gov.ae/SchoolImage/22MS.jpg,https://www.khda.gov.ae/SchoolImage/22S.jpg,https://www.khda.gov.ae/SchoolImage/22T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=114543,2023-2024,25.18,55.24,,مدرسة الاتحاد الخاصة (فرع),Al Ittihad Private School (Br),جيد,Good,37090,,43945111,www.ipsjumeira.com,01:09.0
B762,B762,القرهود,AL GARHOUD,#24a5e5,هندي,Indian,83,1,asha.a_gls@gemsedu.com,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/83L.jpg,https://www.khda.gov.ae/SchoolImage/83MS.jpg,https://www.khda.gov.ae/SchoolImage/83S.jpg,https://www.khda.gov.ae/SchoolImage/83T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=109214,2023-2024,25.25,55.34,,مدرسة جيمس ليجاسي - فرع دبي,GEMS Legacy School - Dubai Branch,جيد,Good,4973,,97142824090,www.gemslegacyschool-dubai.com,01:09.0
354-1687,354-1687,القوز الأولى,AL QOUZ FIRST,#24a5e5,أمريكي,American,26,1,email@mydischool.com,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/26L.jpg,https://www.khda.gov.ae/SchoolImage/26MS.jpg,https://www.khda.gov.ae/SchoolImage/26S.jpg,https://www.khda.gov.ae/SchoolImage/26T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=114099,2023-2024,25.17,55.26,,مدرسة دبي الدولية الخاصة - فرع,Dubai International Private School - Br,جيد,Good,125676,,97143385530,www.dips-alquoz.ae,01:09.0
"Al khail Road , Al Marabea East  Dubai , P.O. Box 391962 United Arab Emirates","Al khail Road , Al Marabea East  Dubai , P.O. Box 391962 United Arab Emirates",الخيل,Al Khail,#24a5e5,بكالوريا دولية,International Baccalaureate,1477,1,,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/1477L.jpg,https://www.khda.gov.ae/SchoolImage/1477MS.jpg,https://www.khda.gov.ae/SchoolImage/1477S.jpg,https://www.khda.gov.ae/SchoolImage/1477T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=111559,2023-2024,25.12,55.26,,مدرسة جيمس الدولية الخيل ش.ذ.م.م,GEMS International School Al Khail L.L.C,جيد,Good,391962,,97143396200,www.gemsinternationalschool-alkhail.com,01:09.0
Ranches Primary School,,المرابع العربية,Arabian Ranches,#f9db01,بريطاني,UK,14450,1,Steve.Arnold@rpsdubai.com,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/14450L.jpg,https://www.khda.gov.ae/SchoolImage/14450MS.jpg,https://www.khda.gov.ae/SchoolImage/14450S.jpg,https://www.khda.gov.ae/SchoolImage/14450T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=113066,2023-2024,25.03,55.27,,مدرسة رانشز برايمرى,Ranches Primary School,جيد جدا,Very good,,,97144429765,www.rpsdubai.com,01:09.0
Next Generation School,,البرشاء الأولى,AL BARSHA FIRST,#24a5e5,أمريكي,American,1833,1,principal@nextgenerationschool,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/1833L.jpg,https://www.khda.gov.ae/SchoolImage/1833MS.jpg,https://www.khda.gov.ae/SchoolImage/1833S.jpg,https://www.khda.gov.ae/SchoolImage/1833T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=113580,2023-2024,25.1,55.19,,مدرسة نكست جينيريشن ش.ذ.م.م,Next Generation School L.L.C,لم تخضع للتقييم نظراً لجائحة كوفيد 19,Not inspected due to COVID 19,,,45817700,www.ngsdubai.ae,01:09.0
216-2387,216-2387,الراشدية,AL RASHIDIYA,#c2c5cb,وزارة التربية والتعليم,Ministry of Education,5,1,emanschooldubai@gmail.com,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/5L.jpg,https://www.khda.gov.ae/SchoolImage/5MS.jpg,https://www.khda.gov.ae/SchoolImage/5S.jpg,https://www.khda.gov.ae/SchoolImage/5T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=110824,2023-2024,25.23,55.39,,مؤسسة الايمان التعليمية,Al Eman Educational EST,مقبول,Acceptable,10003,,97142858589,,01:09.0
262-590,262-590,المزهر الأولى,AL MIZHAR FIRST,#c2c5cb,بريطاني,UK,44,1,principal@arabunityschool.ae,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/44L.jpg,https://www.khda.gov.ae/SchoolImage/44MS.jpg,https://www.khda.gov.ae/SchoolImage/44S.jpg,https://www.khda.gov.ae/SchoolImage/44T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=111078,2023-2024,25.24,55.43,,مدرسة الوحدة العربية ش.ذ.م.م,Arab Unity School L.L.C,مقبول,Acceptable,10563,,97142886226,www.arabunityschool.ae,01:09.0
,,الخوانيج الثانية,AL KHWANEEJ SECOND,#c2c5cb,أمريكي - بكالوريا دولية,American - International Baccalaureate,502174,1,principal@dxb.ens.sch.ae,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/502174L.jpg,https://www.khda.gov.ae/SchoolImage/502174MS.jpg,https://www.khda.gov.ae/SchoolImage/502174S.jpg,https://www.khda.gov.ae/SchoolImage/502174T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=114718,2023-2024,0,0,,مدارس الامارات الوطنية - فرع دبي,Emirates National Schools - Dubai Branch,مقبول,Acceptable,444051,,456288456,www.ens.sch.ae,01:09.0
132-515,132-515,ديرة,Deira,#c2c5cb,هندي,Indian,76,1,ees@eliteenglishschool.com,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/76L.jpg,https://www.khda.gov.ae/SchoolImage/76MS.jpg,https://www.khda.gov.ae/SchoolImage/76S.jpg,https://www.khda.gov.ae/SchoolImage/76T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=109117,2023-2024,25.29,55.34,,مدرسة ايليت الإنجليزية ش.ذ.م.م,ELITE ENGLISH SCHOOL L.L.C,مقبول,Acceptable,51212,,97142688244,www.eliteenglishschool.com,01:09.0
purpose built,,البرشاء الثانية,AL BARSHA SECOND,#f9db01,بريطاني,UK,14568,1,h.mahmoud_gfs@gemsedu.com,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/14568L.jpg,https://www.khda.gov.ae/SchoolImage/14568MS.jpg,https://www.khda.gov.ae/SchoolImage/14568S.jpg,https://www.khda.gov.ae/SchoolImage/14568T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=111347,2023-2024,84.99,48.98,,مدرسة جيمس فاوندرز - فرع دبي,GEMS Founders School - Dubai Branch,جيد جدا,Very good,,,97145195222,www.gemsfoundersschool-dubai.com,01:09.0
Fairgreen International School,,دبي لاند,Dubai Land,#24a5e5,بكالوريا دولية,International Baccalaureate,152361,1,info@fairgreen.ae,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/152361L.jpg,https://www.khda.gov.ae/SchoolImage/152361MS.jpg,https://www.khda.gov.ae/SchoolImage/152361S.jpg,https://www.khda.gov.ae/SchoolImage/152361T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=114554,2023-2024,25.03,55.28,,مدرسة فايرجرين انترناشيونال ذ.م.م,Fairgreen International School L.L.C,جيد,Good,,,97148754999,www.esoleducation.com,01:09.0
359-903,359-903,المدينة الأكاديمية,Academic City,#f9db01,ألماني,German,116,1,info@germanschool.ae,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/116L.jpg,https://www.khda.gov.ae/SchoolImage/116MS.jpg,https://www.khda.gov.ae/SchoolImage/116S.jpg,https://www.khda.gov.ae/SchoolImage/116T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=114383,2023-2024,25.11,55.4,,المدرسة الالمانية الدولية بدبي,German International School Dubai,لم تخضع للتقييم نظراً لجائحة كوفيد 19,Not inspected due to COVID 19,391162,,97144562718,www.germanschool.ae,01:09.0
316-0643,316-0643,الرفاعة,AL RAFFA,#24a5e5,أمريكي,American,31,1,nasch@emirates.net.ae,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/31L.jpg,https://www.khda.gov.ae/SchoolImage/31MS.jpg,https://www.khda.gov.ae/SchoolImage/31S.jpg,https://www.khda.gov.ae/SchoolImage/31T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=114058,2023-2024,25.25,55.28,,المدرسة الاكاديمية الجديدة,New Academy School,جيد,Good,11439,,97143988873,,01:09.0
,,جبل علي الأولى,JABAL ALI FIRST,#f9db01,بريطاني,UK,14719,1,arabicao@jebelalischool.org,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/14719L.jpg,https://www.khda.gov.ae/SchoolImage/14719MS.jpg,https://www.khda.gov.ae/SchoolImage/14719S.jpg,https://www.khda.gov.ae/SchoolImage/14719T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=113111,2023-2024,25.21,55.28,,مدرسة جبل علي (فرع من تعليم للإدارة (ش.ذ.م.م)),Jebel Ali School (Br of Taaleem Management (L L C)),جيد جدا,Very good,,,97148846485,jebelalischool.org/,01:09.0
6310107,6310107,الخيل,Al Khail,#f9db01,بريطاني - هندي,UK - Indian,1267,1,fatima.m_nms@gemsedu.com,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/1267L.jpg,https://www.khda.gov.ae/SchoolImage/1267MS.jpg,https://www.khda.gov.ae/SchoolImage/1267S.jpg,https://www.khda.gov.ae/SchoolImage/1267T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=109157,2023-2024,25.12,55.25,,مدرسة جيمس نيو ميلينيوم ش.ذ.م.م,GEMS New Millennium School L.L.C,جيد جدا,Very good,391740,,44452900,www.gemsnms-alkhail.com,01:09.0
"Street 19, Oud Metha Road, Oud Metha","Street 19, Oud Metha Road, Oud Metha",عود ميثاء,OUD METHA,#10b078,فرنسي,French,371,1,beatrice.mathevet@lfigp.org,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/371L.jpg,https://www.khda.gov.ae/SchoolImage/371MS.jpg,https://www.khda.gov.ae/SchoolImage/371S.jpg,https://www.khda.gov.ae/SchoolImage/371T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=113133,2023-2024,25.23,55.32,,المدرسة الفرنسية الدولية جورج بومبيدو عود ميثاء,Lycee Francais International Georges Pompidou School Oud Metha,متميز,Outstanding,27425,,43374161,www.lfigp.org,01:09.0
383166,383166,البرشاء الثانية,AL BARSHA SECOND,#f9db01,بريطاني,UK,62,1,principal.ris@forteseducation.,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/62L.jpg,https://www.khda.gov.ae/SchoolImage/62MS.jpg,https://www.khda.gov.ae/SchoolImage/62S.jpg,https://www.khda.gov.ae/SchoolImage/62T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=111344,2023-2024,25.09,55.17,,مدرسة ريجنت انترناشيونال الخاصة (ش.ذ.م.م),Regent International Private School L.L.C,جيد جدا,Very good,24857,,97143608830,www.risdubai.com,01:09.0
241-0122,241-0122,النهدة الثانية,AL NAHDA SECOND,#c2c5cb,هندي,Indian,84,1,faisaljaber@centralschool.net,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/84L.jpg,https://www.khda.gov.ae/SchoolImage/84MS.jpg,https://www.khda.gov.ae/SchoolImage/84S.jpg,https://www.khda.gov.ae/SchoolImage/84T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=109142,2023-2024,25.29,55.38,,المدرسة المركزية,The Central School,مقبول,Acceptable,90697,,42674433,www.centraldxb.com,01:09.0
Al Fanar School,,ند الشبا الرابعة,NADD AL SHIBA FOURTH,,بريطاني,UK,505784,1,principal@alfanar.ae ,,,,,https://www.khda.gov.ae/SchoolImage/505784L.jpg,https://www.khda.gov.ae/SchoolImage/505784MS.jpg,https://www.khda.gov.ae/SchoolImage/505784S.jpg,https://www.khda.gov.ae/SchoolImage/505784T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=,,25.13,55.37,,مدرسة الفنار ش.ذ.م.م,Al Fanar School,لم تخضع بعد لتقييم الرقابة,Not inspected yet,,,43231618,,01:09.0
Al AWIR SCHOOL 5255885072,,العوير الأولى,AL AWIR FIRST,,بريطاني - بريطاني/BTEC,UK - UK/BTEC,505020,1,pa.salmanibrahim@gmail.com,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/505020L.jpg,https://www.khda.gov.ae/SchoolImage/505020MS.jpg,https://www.khda.gov.ae/SchoolImage/505020S.jpg,https://www.khda.gov.ae/SchoolImage/505020T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=,,400.95,520,,مدرسة بيس سبرينغفيلد الدولية,Pace Springfield International School,لم تخضع بعد لتقييم الرقابة,Not inspected yet,,,42710000,www.pacespringfield.com,01:09.0
245-251,245-251,محيصنة الرابعة,MUHAISANAH FOURTH,#24a5e5,روسي,Russian,143,1,info@dubairuschool.com,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/143L.jpg,https://www.khda.gov.ae/SchoolImage/143MS.jpg,https://www.khda.gov.ae/SchoolImage/143S.jpg,https://www.khda.gov.ae/SchoolImage/143T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=110360,2023-2024,25.28,55.4,,المدرسة الدولية الروسية,Russian International School,جيد,Good,235047,,97142641515,www.dubairuschool.com,01:09.0
228-1084,228-1084,الطوار الأولى,AL TWAR FIRST,#c2c5cb,بريطاني,UK,339,1,principal@deiraprivateschool.a,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/339L.jpg,https://www.khda.gov.ae/SchoolImage/339MS.jpg,https://www.khda.gov.ae/SchoolImage/339S.jpg,https://www.khda.gov.ae/SchoolImage/339T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=114096,2023-2024,25.24,55.4,,مدرسة ديرة الخاصة,Deira Private School,مقبول,Acceptable,231959,,42641595,https://deiraprivateschool.ae,01:09.0
262-3388,262-3388,المزهر الأولى,AL MIZHAR FIRST,#24a5e5,أمريكي,American,24,1,mirdif98@emirates.net.ae,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/24L.jpg,https://www.khda.gov.ae/SchoolImage/24MS.jpg,https://www.khda.gov.ae/SchoolImage/24S.jpg,https://www.khda.gov.ae/SchoolImage/24T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=109231,2023-2024,25.24,55.44,,مدرسة مردف الأمريكية,Mirdif American School,جيد,Good,79195,,97142883303,www.mirdifprivateschool.ae,01:09.0
