id,name,emirate,curriculum,language_of_instruction,year_founded,government_rating,parent_reviews_count,annual_fees_aed,location_address,contact,website_listing_url,photo_url
11,Horizon English School Dubai,Dubai,"UK EYFS, British",English,1989,Outstanding (KHDA),24,51337,"Al Safa Area, Near Al Safa park",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/591/horizon-school-dubai/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
12,Kings School Al Barsha,Dubai,British,English,2014,Outstanding (KHDA),24,81936,"First Al Khail St, Al Barsha 3",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/114296/kings-school-al-barsha-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
13,The Aquila School,Dubai,British,English,2018,Good (KHDA),24,44400,"Dubailand, skycourts",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/aquila-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
14,"GEMS World Academy, Dubai",Dubai,IB,English,2008,Very Good (KHDA),22,82857,Al Barsha South,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/581/gems-world-academy-dubai/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
15,Horizon International School,Dubai,"IGCSE, GCSE, British",English,2008,Very Good (KHDA),22,55978,"Street 9A, Off Al Wasl Road, Umm Al Sheif",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/114286/horizon-international-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
16,"GEMS Wellington Academy, Al Khail",Dubai,"British, Arabic","English, Arabic",2013,Very Good (KHDA),21,70743,"Dubai Hills, Exit 18 East Al Marabea Street, Al Khail",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/128992/gems-wellington-academy/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
17,"Repton School, Dubai",Dubai,"IB, British",English,2007,Outstanding (KHDA),21,73932,Nad Al Sheba 3,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/673/repton-school-dubai/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
18,"Emirates International School, Meadows",Dubai,IB,English,2005,Very Good (KHDA),20,57483,"Emirates Living, The Meadows",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/575/emirates-international-school-meadows/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
19,GEMS Founders School Al Mizhar,Dubai,British,English,Not listed,Good (KHDA),20,30647,Al Mizhar,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/gems-founders-school-al-mizhar-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
20,GEMS New Millennium School Al Khail,Dubai,"IGCSE, CBSE","English, Hindi/English",2013,Very Good (KHDA),20,26040,"Al Khail Road South, Marabea East, Exit 18",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/113942/gems-new-millennium-school-al-khail-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
21,GEMS Royal Dubai School,Dubai,"Special Needs, British",English,2005,Very Good (KHDA),20,57161,"Al Mizhar, 1 Mirdif",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/21633/gems-royal-dubai-school/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
22,GEMS Al Khaleej International School,Dubai,American,English,1992,Good (KHDA),19,42043,Nouakchott St - Al Warqa 4,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/gems-al-khaleej-international-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
23,GEMS FirstPoint School,Dubai,British,English,2014,Very Good (KHDA),18,58964,"The Villa Dubai, Al Ain Road",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/134747/gems-firstpoint-school-villa-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
24,Kings School Dubai,Dubai,British,English,2004,Outstanding (KHDA),18,59490,"Street 17, Near Burj Al Arab, Umm Suqeim",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/635/kings-school-dubai/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
25,GEMS Founders School - Dubai South,Dubai,British,English,Not listed,Not rated / no public inspection report,17,42000,Dubai South,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/gems-founders-school-dubai-south-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
26,South View School,Dubai,British,English,Not listed,Not rated / no public inspection report,0,Not listed,Al Barari,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/south-view-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
27,GEMS Metropole School - Al Waha,Dubai,British,English,Not listed,Not rated / no public inspection report,0,Not listed,Al Waha,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/gems-metropole-school-al-waha-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
28,The English College Dubai,Dubai,British,English,Not listed,Not rated / no public inspection report,0,Not listed,Nad Al Sheba,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/the-english-college-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
29,The Arbor School,Dubai,British,English,2018,Not rated / no public inspection report,0,Not listed,Arabian Ranches 2,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/the-arbor-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
30,Repton Al Barsha,Dubai,British,English,Not listed,Not rated / no public inspection report,0,Not listed,Al Barsha,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/repton-al-barsha-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
31,Brighton College Dubai,Dubai,"IGCSE, GCSE, British",English,Not listed,Very Good (KHDA),10,80928,Al Barsha 2 South,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/brighton-college-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
32,Royal Grammar School Guildford Dubai,Dubai,"UK EYFS, GCSE, British",English,2021,Very Good (KHDA),9,99236,D61 - Tilal Al Ghaf,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/royal-grammar-school-guildford-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
33,Star International School Mirdif,Dubai,British,English,Not listed,Not rated / no public inspection report,0,Not listed,Mirdif,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/star-international-school-mirdif-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
34,Amity School Dubai,Dubai,CBSE,Hindi/English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/amity-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
35,Sabari Indian School,Dubai,CBSE,Hindi/English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/sabari-indian-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
36,JSS Private School,Dubai,CBSE,Hindi/English,Not listed,Not rated / no public inspection report,0,Not listed,Al Quoz,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/jss-private-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
37,New Indian Model School,Dubai,CBSE,Hindi/English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/new-indian-model-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
38,GEMS Our Own English High School,Dubai,CBSE,Hindi/English,Not listed,Not rated / no public inspection report,0,Not listed,"Sharjah Road, Dubai",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/gems-our-own-english-high-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
39,Global Indian International School Dubai,Dubai,CBSE,Hindi/English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/global-indian-international-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
40,Delhi Private School Dubai,Dubai,CBSE,Hindi/English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/delhi-private-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
41,GEMS Legacy School,Dubai,CBSE,Hindi/English,Not listed,Not rated / no public inspection report,0,Not listed,Al Barsha South,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/gems-legacy-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
42,GEMS Our Own High School Al Warqa'a,Dubai,CBSE,Hindi/English,Not listed,Not rated / no public inspection report,0,Not listed,Al Warqa'a,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/gems-our-own-high-school-al-warqaa-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
43,GEMS Our Own Indian School,Dubai,CBSE,Hindi/English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/gems-our-own-indian-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
44,Gulf Model School,Dubai,CBSE,Hindi/English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/gulf-model-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
45,The Indian High School,Dubai,CBSE,Hindi/English,Not listed,Not rated / no public inspection report,0,Not listed,Oud Metha,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/the-indian-high-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
46,Central School Dubai,Dubai,CBSE,Hindi/English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/central-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
47,Primus Private School,Dubai,CBSE,Hindi/English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/primus-private-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
48,Bright Riders School,Dubai,CBSE,Hindi/English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/bright-riders-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
49,Buds Public School,Dubai,CBSE,Hindi/English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/buds-public-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
50,Gulf Indian High School,Dubai,CBSE,Hindi/English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/gulf-indian-high-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
51,The Millennium School Dubai,Dubai,CBSE,Hindi/English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/the-millennium-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
52,Crescent English High School,Dubai,CBSE,Hindi/English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/crescent-english-high-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
53,Indian High School Al Garhoud,Dubai,CBSE,Hindi/English,Not listed,Not rated / no public inspection report,0,Not listed,Al Garhoud,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/indian-high-school-al-garhoud-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
54,The Indian Academy Dubai,Dubai,CBSE,Hindi/English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/the-indian-academy-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
55,The Elite English School,Dubai,CBSE,Hindi/English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/the-elite-english-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
56,GEMS Al Khaleej International School (American),Dubai,American,English,1992,Good (KHDA),19,42043,Al Warqa 4,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/gems-al-khaleej-international-school-dubai-uae-american/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
57,Nibras International School,Dubai,American,English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/nibras-international-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
58,Dunecrest American School,Dubai,American,English,Not listed,Not rated / no public inspection report,0,Not listed,Arabian Ranches 2,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/dunecrest-american-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
59,The School of Research Science,Dubai,American,English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/the-school-of-research-science-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
60,iCademy Middle East,Dubai,American,English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/icademy-middle-east-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
61,Clarion School,Dubai,American,English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/clarion-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
62,Next Generation School,Dubai,American,English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/next-generation-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
63,Universal American School,Dubai,American,English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/universal-american-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
64,American School of Creative Science Nad Al Sheba,Dubai,American,English,Not listed,Not rated / no public inspection report,0,Not listed,Nad Al Sheba,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/american-school-of-creative-science-nad-al-sheba-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
65,School of Modern Skills,Dubai,American,English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/school-of-modern-skills-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
66,Bright Learners Private School,Dubai,American,English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/bright-learners-private-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
67,Mirdif American School,Dubai,American,English,Not listed,Not rated / no public inspection report,0,Not listed,Mirdif,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/mirdif-american-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
68,New Academy School,Dubai,American,English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/new-academy-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
69,Collegiate International School,Dubai,American,English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/collegiate-international-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
70,Ignite School,Dubai,American,English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/ignite-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
71,International Academic School Dubai,Dubai,American,English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/international-academic-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
72,GEMS Dubai American Academy,Dubai,American,English,Not listed,Not rated / no public inspection report,0,Not listed,Al Barsha,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/gems-dubai-american-academy-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
73,Al Maaref Private School,Dubai,American,English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/al-maaref-private-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
74,American School of Dubai,Dubai,American,English,1966,Not rated / no public inspection report,0,Not listed,Al Barsha,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/american-school-of-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
75,VIS Vernus International School,Dubai,American,English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/vis-vernus-international-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
76,Al Ittihad Private School Jumeirah,Dubai,American,English,Not listed,Not rated / no public inspection report,0,Not listed,Jumeirah,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/al-ittihad-private-school-jumeirah-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
77,Al Mawakeb School Al Barsha,Dubai,American,English,Not listed,Not rated / no public inspection report,0,Not listed,Al Barsha,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/al-mawakeb-school-al-barsha-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
78,American Academy for Girls,Dubai,American,English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/american-academy-for-girls-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
79,Al Ittihad Private School Al Mamzar,Dubai,American,English,Not listed,Not rated / no public inspection report,0,Not listed,Al Mamzar,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/al-ittihad-private-school-al-mamzar-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
80,Dubai International School Al Garhoud,Dubai,American,English,Not listed,Not rated / no public inspection report,0,Not listed,Al Garhoud,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/dubai-international-school-al-garhoud-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
81,Arab Unity School,Dubai,IGCSE,English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/arab-unity-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
82,Dubai Scholars Private School,Dubai,IGCSE,English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/dubai-scholars-private-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
83,The Sheffield Private School,Dubai,IGCSE,English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/the-sheffield-private-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
84,Al Salam Private School,Dubai,IGCSE,English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/al-salam-private-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
85,GEMS Al Barsha National School,Dubai,"UK EYFS, IGCSE, GCSE, British",English,Not listed,Acceptable (KHDA),13,54953,Al Barsha south 2,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/gems-al-barsha-national-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
86,Al Salam Community School,Dubai,"IGCSE, GCSE, British",English,1985,Good (KHDA),11,32449,Al Twar 2,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/al-salam-community-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
87,Hartland International School,Dubai,"UK EYFS, IGCSE, GCSE, British",English,2015,Very Good (KHDA),11,70792,"Sobha Hartland, Nad Al Sheba, MBR City",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/114285/hartland-international-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
88,St. Mary's Catholic High School Muhaisnah,Dubai,IGCSE,English,Not listed,Not rated / no public inspection report,0,Not listed,Muhaisnah,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/st-marys-catholic-high-school-muhaisnah-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
89,English Language School Dubai,Dubai,"IGCSE, GCSE, British",English,1978,Acceptable (KHDA),7,8208,"Oud Metha Road, Umm Hurair",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/113941/english-language-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
90,Raffles International School South Campus,Dubai,IGCSE,English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/raffles-international-school-south-campus-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
91,Al Sadiq Islamic English School,Dubai,IGCSE,English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/al-sadiq-islamic-english-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
92,Dubai Carmel School,Dubai,"UK EYFS, Special Needs, IGCSE, British",English,1990,Acceptable (KHDA),5,15886,"Al Nahda 2, Amman Street",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/113939/dubai-carmel-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
93,New Dawn Private School,Dubai,IGCSE,English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/new-dawn-private-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
94,MSB Private School,Dubai,IGCSE,English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/msb-private-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
95,Oxford School Dubai,Dubai,IGCSE,English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/oxford-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
96,The Westminster School Dubai,Dubai,IGCSE,English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/the-westminster-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
97,Cedar School,Dubai,"NCfE, IGCSE, GCSE, British",English,2020,Acceptable (KHDA),3,25965,Al Warqa'a First,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/cedar-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
98,Dubai British School Jumeira,Dubai,IGCSE,English,Not listed,Not rated / no public inspection report,0,Not listed,Jumeirah,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/dubai-british-school-jumeira-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
99,New World Private School,Dubai,IGCSE,English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/new-world-private-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
100,Bilingual French International School,Dubai,French,French/English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/bilingual-french-international-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
101,Lycee Francais International Dubai,Dubai,French,French/English,Not listed,Not rated / no public inspection report,0,Not listed,Dubai,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/lycee-francais-international-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
